idx,name,center_x_mm,center_y_mm,center_z_mm,size_x_mm,size_y_mm,size_z_mm,volume_mm3
43,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-10-6_2:2/M2-10-6_2,93.474,-42.898,-6.5,3.2,7.0,3.2,31.542
44,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/M2-4LOUSI_1:2/M2-4LOUSI_1,93.474,-46.048,-6.5,3.5,5.5,3.5,22.451
45,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/MF85ZZ_1:1/MF85ZZ_1,93.474,-51.348,-0.0,9.2,2.5,9.2,84.153
46,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/L_RACK:1/L_RACK,72.559,-22.298,-0.0,81.681,9.5,20.0,5385.925
47,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:1/P_RACK/=>[0:1:1:33]/SOLID,57.737,-0.758,-1.0,111.474,106.681,22.0,32922.815
48,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-0413-MIDDLECASE_80:1/WJ-WK00-0413-MIDDLECASE_80,85.974,38.098,0.0,34.0,15.0,20.0,1568.31
49,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-0412-TOPCABINET_74:1/WJ-WK00-0412-TOPCABINET_74,85.974,29.123,-0.0,34.0,4.05,20.0,2071.664
50,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/WJ-WK00-414-BOTTOMCASE_48:1/WJ-WK00-414-BOTTOMCASE_48,85.974,48.824,0.0,34.0,7.551,20.0,1142.073
51,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:1/PHS_1_7X20_5_DC10_3_3,97.974,37.969,-8.4,2.8,21.259,2.8,37.814
52,vertical_translation_v8/assembly v13/BASE_GRIPPER:1/BASE_GRIPPER/P_RACK:2/P_RACK/FEETECH_HL_3915_Servo_Motor v4:4/FEETECH_HL_3915_Servo_Motor v4/HL-3608_ASM_121_ASM:1/HL-3608_ASM_121_ASM/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM:1/DC15_A01_DUMMY_ASSY_IDLE_ASM_9__ASM/PHS_1_7X20_5_DC10_3_3:2/PHS_1_7X20_5_DC10_3_3,97.974,37.969,8.4,2.8,21.259,2.8,37.814
